fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime,symbol,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin,event_id_x,ticker,revenue_growth,margin_trend,profitability,revenue_growth_regime,eps_surprise_regime,profitability_regime,margin_trend_regime,financial_strength_regime,event_id_reported,event_id_y,CAR_m1_p1,CAR_m2_p2,CAR_m5_p5,CAR_p5_p20,eps_bin2
2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937,post-market,AAPL,97278000000,42559000000,29979000000,25010000000,0.437498715022924,0.3081786220933818,0.2570982133678735,AAPL_2022-03-31,AAPL,-0.2151518818830933,-0.0222999067660569,0.3081786220933818,negative_growth,moderate_positive,high,contraction,mixed,AAPL_2022-04-28,AAPL_2022-04-28,0.0100190270756451,0.0033804582135992,-0.010891954690630201,-0.0613043044413736,1
2022-06-30,2022-07-28,1.2,1.15,0.05,4.3478,post-market,AAPL,82959000000,35885000000,23076000000,19442000000,0.4325630733253776,0.2781615014645789,0.2343567304331055,AAPL_2022-06-30,AAPL,-0.1471966940109788,-0.0227414829347679,0.2781615014645789,negative_growth,moderate_positive,high,contraction,mixed,AAPL_2022-07-28,AAPL_2022-07-28,0.0057103181233519006,0.015446125531919399,0.0016550569924289995,0.041474465749932396,1
2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748,post-market,AAPL,90146000000,38095000000,24894000000,20721000000,0.4225922392563175,0.276152020056353,0.2298604486055953,AAPL_2022-09-30,AAPL,0.086633156137369,-0.0044962818275102,0.276152020056353,moderate_growth,small,high,stable,mixed,AAPL_2022-10-27,AAPL_2022-10-27,0.0300476909427894,0.0277545119011587,0.0176458087636768,-0.0674167467720211,1
2022-12-31,2023-02-02,1.88,1.95,-0.07,-3.5897,post-market,AAPL,117154000000,50332000000,36016000000,29998000000,0.4296225480990832,0.3074244157263089,0.2560561312460522,AAPL_2022-12-31,AAPL,0.2996028664610741,0.0261956826404569,0.3074244157263089,high_growth,moderate_negative,high,expansion,mixed,AAPL_2023-02-02,AAPL_2023-02-02,0.027375164446301798,0.0204104470380454,0.012381156553568499,0.0230519621530745,0
2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937,post-market,AAPL,94836000000,41976000000,28318000000,24160000000,0.4426167278248766,0.2985996878822388,0.2547555780505293,AAPL_2023-03-31,AAPL,-0.1905013913310684,-0.0013005531955229,0.2985996878822388,negative_growth,moderate_positive,high,stable,mixed,AAPL_2023-05-04,AAPL_2023-05-04,0.018540072483634398,0.0217242166074378,0.0166479918471736,-0.032696187042252606,1
2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824,post-market,AAPL,81797000000,36413000000,22998000000,19881000000,0.4451630255388339,0.2811594557257601,0.2430529237013582,AAPL_2023-06-30,AAPL,-0.1374899827069888,-0.011702654349171,0.2811594557257601,negative_growth,moderate_positive,high,contraction,mixed,AAPL_2023-08-03,AAPL_2023-08-03,-0.0472662037531237,-0.049835335282587295,-0.0604096567871795,0.0226175850176307,1
2023-09-30,2023-11-02,1.46,1.39,0.07,5.036,post-market,AAPL,89498000000,40427000000,26969000000,22956000000,0.4517084180652082,0.3013363427115689,0.2564973518961317,AAPL_2023-09-30,AAPL,0.0941477071286231,0.0134444281947735,0.3013363427115689,moderate_growth,moderate_positive,high,expansion,strong_fundamentals,AAPL_2023-11-02,AAPL_2023-11-02,-0.0008941057928496011,-0.0010486994134475004,0.0228931071796783,0.0314298536352419,1
2023-12-31,2024-02-01,2.18,2.11,0.07,3.3175,post-market,AAPL,119575000000,54855000000,40373000000,33916000000,0.4587497386577462,0.337637466025507,0.2836378841731131,AAPL_2023-12-31,AAPL,0.3360633757178932,0.0271405322769813,0.337637466025507,high_growth,moderate_positive,high,expansion,strong_fundamentals,AAPL_2024-02-01,AAPL_2024-02-01,-0.0177196693795466,-0.0308704658840911,-0.0205061871471934,-0.017681626815077605,1
2024-03-31,2024-05-02,1.53,1.5,0.03,2.0,post-market,AAPL,90753000000,42271000000,27900000000,23636000000,0.4657807455400923,0.3074278536246735,0.2604431809416768,AAPL_2024-03-31,AAPL,-0.2410370060631402,-0.0231947032314362,0.3074278536246735,negative_growth,small,high,contraction,mixed,AAPL_2024-05-02,AAPL_2024-05-02,0.0609999029414956,0.0579399801580082,0.0715742845765448,0.045816888954847604,1
2024-06-30,2024-08-01,1.4,1.34,0.06,4.4776,post-market,AAPL,85777000000,39678000000,25352000000,21448000000,0.462571551814589,0.2955570840668244,0.2500437180129871,AAPL_2024-06-30,AAPL,-0.0548301433561424,-0.0103994629286897,0.2955570840668244,negative_growth,moderate_positive,high,contraction,mixed,AAPL_2024-08-01,AAPL_2024-08-01,0.017784933078943,0.0303613946113984,-0.0150465260002026,-0.008908699934410002,1
2024-09-30,2024-10-31,0.97,0.95,0.02,2.1053,post-market,AAPL,94930000000,43879000000,29591000000,14736000000,0.4622247972190035,0.311713894448541,0.1552301695986516,AAPL_2024-09-30,AAPL,0.1067069260990709,-0.0948135484143354,0.311713894448541,high_growth,small,high,contraction,mixed,AAPL_2024-10-31,AAPL_2024-10-31,-0.032249507759713705,-0.0393809502351552,-0.0395639220177015,-0.01002461896455976,1
2024-12-31,2025-01-30,2.4,2.34,0.06,2.5641,post-market,AAPL,124300000000,58275000000,42832000000,36330000000,0.4688254223652454,0.3445856798069187,0.2922767497988737,AAPL_2024-12-31,AAPL,0.3093858632676709,0.1370465802002221,0.3445856798069187,high_growth,small,high,expansion,mixed,AAPL_2025-01-30,AAPL_2025-01-30,-0.011426244776273,0.014714029953261702,0.0471496013567752,0.040820784291017,1
2025-03-31,2025-05-01,1.65,1.62,0.03,1.8519,post-market,AAPL,95359000000,44867000000,29589000000,24780000000,0.4705061923887624,0.3102905861009448,0.2598601075934101,AAPL_2025-03-31,AAPL,-0.2328318584070796,-0.0324166422054635,0.3102905861009448,negative_growth,small,high,contraction,mixed,AAPL_2025-05-01,AAPL_2025-05-01,-0.0447085859461286,-0.0436329157266373,-0.0648342022492524,-0.0176977911388942,1
2025-06-30,2025-07-31,1.57,1.43,0.14,9.7902,post-market,AAPL,94036000000,43718000000,28202000000,23434000000,0.4649070568718363,0.2999064188183249,0.2492024331107235,AAPL_2025-06-30,AAPL,-0.0138738871003261,-0.0106576744826866,0.2999064188183249,negative_growth,moderate_positive,high,contraction,mixed,AAPL_2025-07-31,AAPL_2025-07-31,-0.0110497526345579,-0.020628214997734498,-0.0281675860977241,0.12325844602659021,1
2025-09-30,2025-10-30,1.85,1.76,0.09,5.1136,post-market,AAPL,102466000000,48341000000,32427000000,27466000000,0.4717760037475845,0.3164659496808698,0.2680498897195167,AAPL_2025-09-30,AAPL,0.0896465183546726,0.0188474566087932,0.3164659496808698,moderate_growth,moderate_positive,high,expansion,strong_fundamentals,AAPL_2025-10-30,AAPL_2025-10-30,0.012763615157101898,0.0049059690365048005,0.0246991551514114,0.0609268816598916,1
2005-09-30,2005-10-20,0.038,0.034,0.004,11.7647,pre-market,GOOGL,1578456000,923302000,529171000,381182000,0.5849399666509552,0.3352459618766693,0.2414904184848991,GOOGL_2005-09-30,GOOGL,,,0.3352459618766693,missing,large_positive,high,missing,mixed,GOOGL_2005-10-20,GOOGL_2005-10-20,0.0956366636802475,0.0907782004730846,0.1233678228979097,0.0343176618855975,1
2005-12-31,2006-01-31,0.0385,0.044,-0.0055,-12.5,pre-market,GOOGL,1919092000,1143711000,569639000,372208000,0.5959646541176765,0.2968273537693868,0.1939500555471024,GOOGL_2005-12-31,GOOGL,0.2158032913175913,-0.0475403629377967,0.2968273537693868,high_growth,large_negative,high,contraction,mixed,GOOGL_2006-01-31,GOOGL_2006-01-31,-0.0779302613867967,-0.0883468885360702,-0.1410667411813773,-0.0716227213771144,0
2006-03-31,2006-04-20,0.0575,0.0495,0.008,16.1616,pre-market,GOOGL,2253800000,1349681000,742699000,592291000,0.5988468364539888,0.3295319016771674,0.2627966101694915,GOOGL_2006-03-31,GOOGL,0.1744095645232224,0.0688465546223891,0.3295319016771674,high_growth,large_positive,high,expansion,strong_fundamentals,GOOGL_2006-04-20,GOOGL_2006-04-20,0.101627954670817,0.0619968711478779,0.0793537010184257,-0.0619469762218064,1
2006-06-30,2006-07-20,0.0625,0.0555,0.007,12.6126,pre-market,GOOGL,2456000000,1466968000,815372000,721077000,0.597299674267101,0.3319918566775244,0.2935981270358306,GOOGL_2006-06-30,GOOGL,0.0897151477504658,0.030801516866339,0.3319918566775244,moderate_growth,large_positive,high,expansion,strong_fundamentals,GOOGL_2006-07-20,GOOGL_2006-07-20,-0.020217769438130598,-0.0365857950952956,-0.06269323657743969,-0.047490318654636904,1
2006-09-30,2006-10-19,0.0655,0.0605,0.005,8.2645,pre-market,GOOGL,2689700000,1640972000,931331000,733361000,0.6100948061122058,0.3462583187716102,0.2726553147191136,GOOGL_2006-09-30,GOOGL,0.0951547231270357,-0.020942812316717,0.3462583187716102,moderate_growth,moderate_positive,high,contraction,mixed,GOOGL_2006-10-19,GOOGL_2006-10-19,0.0892400285635153,0.09699063195719951,0.11042837694767861,-0.0192892472142167,1
2006-12-31,2007-01-31,0.0795,0.073,0.0065,8.9041,pre-market,GOOGL,3205498000,1922350000,1060594000,1030717000,0.5997040085503095,0.3308671538712549,0.3215466052388739,GOOGL_2006-12-31,GOOGL,0.1917678551511321,0.0488912905197603,0.3308671538712549,high_growth,moderate_positive,high,expansion,strong_fundamentals,GOOGL_2007-01-31,GOOGL_2007-01-31,-0.032482187240975,-0.0452837483717498,-0.0560156244508988,-0.045555549735627,1
2007-03-31,2007-04-19,0.092,0.0825,0.0095,11.5152,pre-market,GOOGL,3664000000,2193574000,1221209000,1002162000,0.5986828602620088,0.3332993995633188,0.2735158296943231,GOOGL_2007-03-31,GOOGL,0.1430361210644961,-0.0480307755445508,0.3332993995633188,high_growth,large_positive,high,contraction,mixed,GOOGL_2007-04-19,GOOGL_2007-04-19,0.016023743547147702,0.010742352644875601,0.001048384613402599,-0.047409919932786856,1
2007-06-30,2007-07-19,0.089,0.09,-0.001,-1.1111,pre-market,GOOGL,3872000000,2311745000,1104615000,925120000,0.5970415805785124,0.2852827995867769,0.2389256198347107,GOOGL_2007-06-30,GOOGL,0.056768558951965,-0.0345902098596123,0.2852827995867769,moderate_growth,small,high,contraction,mixed,GOOGL_2007-07-19,GOOGL_2007-07-19,-0.0611431731767687,-0.0639947852658637,-0.05810269434300799,0.0531870111823908,0
2007-09-30,2007-10-18,0.098,0.0945,0.0035,3.7037,pre-market,GOOGL,4231400000,2568821000,1317842000,1069989000,0.6070853618187834,0.3114434938790943,0.2528687904712388,GOOGL_2007-09-30,GOOGL,0.0928202479338842,0.013943170636528,0.3114434938790943,moderate_growth,moderate_positive,high,expansion,strong_fundamentals,GOOGL_2007-10-18,GOOGL_2007-10-18,0.0494677599908425,0.045481802707808,0.048159992924968496,0.1104148351372264,1
2007-12-31,2008-01-31,0.111,0.111,0.0,0.0,pre-market,GOOGL,4826686000,2870862000,1440734000,1206449000,0.5947894683847261,0.298493417636863,0.2499539021183478,GOOGL_2007-12-31,GOOGL,0.1406829890816279,-0.0029148883528909,0.298493417636863,high_growth,small,high,stable,mixed,GOOGL_2008-01-31,GOOGL_2008-01-31,-0.09744435806027181,-0.11168179005959741,-0.12030422644144051,0.023855867912918504,0
2008-03-31,2008-04-17,0.121,0.113,0.008,7.0796,pre-market,GOOGL,5186000000,3075464000,1546235000,1307086000,0.5930320092556884,0.2981556112610875,0.2520412649440802,GOOGL_2008-03-31,GOOGL,0.074443210103164,0.0020873628257323,0.2981556112610875,moderate_growth,moderate_positive,high,stable,mixed,GOOGL_2008-04-17,GOOGL_2008-04-17,0.1351911680948888,0.1249118885773353,0.1586984964993931,0.07449935180124109,1
2008-06-30,2008-07-17,0.116,0.1185,-0.0025,-2.1097,pre-market,GOOGL,5367200000,3219625000,1577965000,1247391000,0.5998705097630049,0.2940015277984796,0.2324100089432106,GOOGL_2008-06-30,GOOGL,0.034940223679136,-0.0196312560008695,0.2940015277984796,moderate_growth,small,high,contraction,mixed,GOOGL_2008-07-17,GOOGL_2008-07-17,-0.0752811541765645,-0.0850389881962592,-0.1091811682536573,0.0043662650208261,0
2008-09-30,2008-10-16,0.123,0.1185,0.0045,3.7975,pre-market,GOOGL,5541400000,3368010000,1647565000,1289938000,0.6077904500667701,0.2973192694986826,0.2327819684556249,GOOGL_2008-09-30,GOOGL,0.0324564018482635,0.0003719595124143,0.2973192694986826,moderate_growth,moderate_positive,high,stable,mixed,GOOGL_2008-10-16,GOOGL_2008-10-16,0.0693521743883834,0.0657248294985106,0.09030626649065221,-0.05282570462381529,1
