symbol,fiscalDateEnding,totalRevenue,grossProfit,operatingIncome,netIncome,grossMargin,operatingMargin,netMargin
AAPL,2009-09-30,9870000000,3614000000,2193000000,1665000000,0.36616008105369807,0.22218844984802433,0.16869300911854104
AAPL,2009-06-30,9734000000,3983000000,2632000000,1828000000,0.409184302445038,0.27039243887404973,0.1877953564824327
AAPL,2009-03-31,9084000000,3627000000,2323000000,1620000000,0.39927344782034346,0.25572435050638487,0.178335535006605
AAPL,2008-12-31,11880000000,4507000000,3101000000,2255000000,0.37937710437710437,0.26102693602693605,0.18981481481481483
AAPL,2008-09-30,7895000000,2739000000,1442000000,1136000000,0.3469284357188094,0.18264724509183028,0.14388853704876503
AAPL,2008-06-30,7464000000,2600000000,1392000000,1072000000,0.3483386923901393,0.1864951768488746,0.14362272240085744
AAPL,2008-03-31,7512000000,2474000000,1315000000,1045000000,0.3293397231096912,0.17505324813631523,0.13911075612353568
AAPL,2007-12-31,9608000000,3332000000,2126000000,1581000000,0.34679433805162363,0.22127393838467943,0.1645503746877602
AAPL,2007-09-30,6217000000,2090000000,1060000000,904000000,0.3361750040212321,0.17050024127392632,0.14540775293549943
AAPL,2007-06-30,5410000000,1995000000,1041000000,818000000,0.3687615526802218,0.1924214417744917,0.15120147874306838
AAPL,2007-03-31,5264000000,1849000000,986000000,770000000,0.3512537993920973,0.18731003039513677,0.14627659574468085
AAPL,2006-12-31,7115000000,2220000000,1322000000,1004000000,0.3120168657765285,0.18580463808854533,0.14111033028812367
AAPL,2006-09-30,4370000000,1412000000,608000000,542000000,0.32311212814645307,0.1391304347826087,0.12402745995423341
AAPL,2006-06-30,4370000000,1325000000,566000000,472000000,0.30320366132723114,0.12951945080091534,0.1080091533180778
AAPL,2006-03-31,4359000000,1297000000,529000000,410000000,0.2975453085570085,0.12135810965817848,0.09405827024546914
AAPL,2005-12-31,5749000000,1564000000,750000000,565000000,0.2720473125761002,0.1304574708644982,0.09827796138458862
AAPL,2005-09-30,3678000000,1035000000,418000000,430000000,0.2814029363784666,0.11364872213159326,0.11691136487221315
GOOGL,2025-09-30,102346000000,60977000000,31228000000,34979000000,0.5957927031833193,0.30512184159615424,0.34177202821800556
GOOGL,2025-06-30,96428000000,57389000000,31271000000,28196000000,0.5951487119923674,0.3242937735927324,0.2924046957315303
GOOGL,2025-03-31,90234000000,53873000000,30606000000,34540000000,0.5970365937451515,0.3391847862224882,0.38278254316554733
GOOGL,2024-12-31,96469000000,55856000000,30972000000,26536000000,0.5790046543449191,0.3210565051985612,0.2750728213208388
GOOGL,2024-09-30,88268000000,51794000000,28521000000,26301000000,0.5867811664476368,0.3231182308424344,0.2979675533602211
GOOGL,2024-06-30,84742000000,49235000000,27425000000,23619000000,0.5809987963465578,0.32362936914399,0.2787165750159307
GOOGL,2024-03-31,80539000000,46827000000,25472000000,23662000000,0.5814201815269621,0.3162691366915407,0.2937955524652653
GOOGL,2023-12-31,86310000000,48735000000,23697000000,20687000000,0.564650677789364,0.27455683003128256,0.2396825396825397
GOOGL,2023-09-30,76693000000,43464000000,21343000000,19689000000,0.5667270806983689,0.27829136948613303,0.25672486406842865
GOOGL,2023-06-30,74604000000,42688000000,21838000000,18368000000,0.5721945204010509,0.2927188890676103,0.2462066377137955
GOOGL,2023-03-31,69787000000,39175000000,17415000000,15051000000,0.5613509679453194,0.24954504420594092,0.21567054035851949
GOOGL,2022-12-31,76048000000,40706000000,18160000000,13624000000,0.5352671996633706,0.2387965495476541,0.17915001051967178
