date,stock_return,market_return,expected_return,ar,rel_day,ticker,event_date_aligned,alpha,beta,surprise,car_0_t
2023-08-10,-0.0037673696548373202,0.0018464406385280832,0.004681544455891326,-0.008448914110728647,53,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.06652643640981713
2023-08-11,-0.03700566405853385,-0.006396226846381434,-0.009460062136770968,-0.027545601921762884,54,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.038980834488054256
2023-08-14,0.06858479149761151,0.011159832238789507,0.020660148505542413,0.0479246429920691,55,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.08690547748012335
2023-08-15,0.004333454152840554,-0.010668193553378526,-0.01678930023328592,0.02112275438612647,56,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.10802823186624982
2023-08-16,-0.010294040346916989,-0.010645399711290327,-0.016750193773133703,0.006456153426216714,57,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.11448438529246655
2023-08-17,-0.0034550305013340632,-0.01098297567935872,-0.01732935901840172,0.013874328517067658,58,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.1283587138095342
2023-08-18,-0.0009233610997689838,-0.0012559309674415535,-0.0006410672879633545,-0.0002822938118056293,59,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.12807641999772856
2023-08-21,0.08135646503045954,0.015982931887257582,0.028934942789154358,0.05242152224130518,60,NVDA,2023-05-24,0.0015136819702854356,1.7156589924987773,0.017,0.18049794223903376
2023-08-16,-0.010294040346916989,-0.010645399711290327,-0.01611720049877392,0.005823160151856931,-5,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,
2023-08-17,-0.0034550305013340632,-0.01098297567935872,-0.016717375191848953,0.01326234469051489,-4,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,
2023-08-18,-0.0009233610997689838,-0.0012559309674415535,0.0005762909062047585,-0.0014996520059737423,-3,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,
2023-08-21,0.08135646503045954,0.015982931887257582,0.031225182419375243,0.050131282611084294,-2,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,
2023-08-22,-0.02806747284199609,-0.0014296887740842918,0.0002673677359094468,-0.028334840577905536,-1,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,
2023-08-23,0.03125591214642363,0.01564539781786467,0.03062508221775421,0.0006308299286694186,0,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,0.0006308299286694186
2023-08-24,0.0008485363258388641,-0.021607282544779904,-0.03560627936525647,0.036454815691095335,1,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,0.037085645619764754
2023-08-25,-0.024469991061950268,0.007721466901442333,0.01653716348075441,-0.04100715454270468,2,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.003921508922939923
2023-08-28,0.017661454122296857,0.007498966187983559,0.016141580530424127,0.0015198735918727294,3,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.0024016353310671937
2023-08-29,0.040582854058257546,0.02160477832270051,0.04122023620893691,-0.0006373821506793637,4,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.0030390174817465573
2023-08-30,0.009791999904617498,0.005561197360700094,0.012696430634772786,-0.002904430730155288,5,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.0059434482119018455
2023-08-31,0.0020279869047406442,0.002994029325317271,0.00813227490851039,-0.006104288003769746,6,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.012047736215671592
2023-09-01,-0.017370417340007206,-0.001058733220417055,0.0009268878339799562,-0.01829730517398716,7,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.030345041389658753
2023-09-05,0.0008242324802087632,0.001270312646869067,0.0050676873007030315,-0.004243454820494269,8,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.03458849621015302
2023-09-06,-0.031170811438117344,-0.008846903767175925,-0.012919663193520992,-0.018251148244596352,9,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.052839644454749375
2023-09-07,-0.01757815893509439,-0.007177405274661403,-0.009951469838207461,-0.00762668909688693,10,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.0604663335516363
2023-09-08,-0.014595619088330864,0.001396607717154332,0.005292226699876115,-0.01988784578820698,11,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.08035417933984329
2023-09-11,-0.008595094235933931,0.011713936546864026,0.02363535609725871,-0.03223045033319264,12,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.11258462967303592
2023-09-12,-0.006885091051965265,-0.01115030494917407,-0.017014869097379433,0.010129778045414168,13,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.10245485162762176
2023-09-13,0.013723101594020877,0.003801710743560941,0.009568247824682533,0.004154853769338345,14,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.09829999785828342
2023-09-14,0.0019765022356254902,0.00814405489763729,0.017288480650530305,-0.015311978414904816,15,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.11361197627318823
2023-09-15,-0.03755470373641254,-0.01727115622280676,-0.027897101193255905,-0.009657602543156632,16,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.12326957881634486
2023-09-18,0.001593263111593095,0.0010419466899734082,0.004661676562222767,-0.0030684134506296715,17,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.12633799226697454
2023-09-19,-0.010286980645031514,-0.002133735721573195,-0.0009843539522113114,-0.009302626692820202,18,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.13564061895979473
2023-09-20,-0.02985296314968116,-0.014515427928308918,-0.022997705087507796,-0.006855258062173363,19,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1424958770219681
2023-09-21,-0.02930788675377141,-0.0184943540972422,-0.03007181882217963,0.0007639320684082185,20,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.14173194495355987
2023-09-22,0.014280770350615306,0.0001396732184839373,0.0030575288886797625,0.011223241461935544,21,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.13050870349162433
2023-09-25,0.014553519425324693,0.004738695232104288,0.011234108048813295,0.003319411376511398,22,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.12718929211511293
2023-09-26,-0.0073695804831944555,-0.015130364076594911,-0.02409099711350746,0.016721416630313006,23,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.11046787548479993
2023-09-27,0.013273482388199682,0.0023406234714411175,0.006970587777618122,0.00630289461058156,24,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.10416498087421837
2023-09-28,0.014493007302567043,0.00833041969908725,0.017619817736372737,-0.0031268104338056935,25,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.10729179130802406
2023-09-29,0.009469986466891608,0.0007260254521089983,0.004100001710022556,0.005369984756869052,26,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.10192180655115501
2023-10-02,0.0290006730759704,0.0083109400877675,0.017585185028920397,0.011415488047050004,27,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.09050631850410501
2023-10-03,-0.0285410086229215,-0.017705483642586957,-0.02866928982786819,0.00012828120494669248,28,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.09037803729915832
2023-10-04,0.01187770930679204,0.01351698946471336,0.026840995224238946,-0.014963285917446906,29,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.10534132321660522
2023-10-05,0.01465145109088089,-0.0029507412788704643,-0.0024369042104457556,0.017088355301326647,30,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.08825296791527858
2023-10-06,0.023660584126182247,0.016616427677357524,0.03235147154345924,-0.008690887417276996,31,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.09694385533255556
2023-10-09,-0.010765785623675148,0.005087214309765928,0.011853738443901108,-0.022619524067576256,32,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.11956337940013183
2023-10-10,0.011639529672271944,0.005522718857212319,0.012628019888140243,-0.0009884902158682988,33,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.12055186961600012
2023-10-11,0.02181276419184,0.007109980303152403,0.015450004393132976,0.006362759798707025,34,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.1141891098172931
2023-10-12,0.002986350342292623,-0.0034811898134221994,-0.003379986113575156,0.0063663364558677795,35,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.10782277336142532
2023-10-13,-0.0322503872298748,-0.012649511117062718,-0.01968030054623918,-0.012570086683635618,36,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.12039286004506093
2023-10-16,0.013980131578205808,0.011242916845928704,0.02279793243212424,-0.008817800853918431,37,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.12921066089897937
2023-10-17,-0.04798788304613872,-0.003280834885428453,-0.0030237760489109696,-0.04496410699722775,38,NVDA,2023-08-23,0.0028092045440468658,1.7778951994397887,0.063,-0.17417476789620712
